Data,close
2010-01-04,6.695
2010-01-05,6.7345
2010-01-06,6.6125
2010-01-07,6.5
2010-01-08,6.676
2010-01-11,6.5155
2010-01-12,6.3675
2010-01-13,6.4555
2010-01-14,6.3675
2010-01-15,6.357
2010-01-19,6.3805
2010-01-20,6.289
2010-01-21,6.331
2010-01-22,6.0715
2010-01-25,6.0155
2010-01-26,5.974
2010-01-27,6.1375
2010-01-28,6.3015
2010-01-29,6.2705
2010-02-01,5.9435
2010-02-02,5.906
2010-02-03,5.955
2010-02-04,5.797
2010-02-05,5.8695
2010-02-08,5.8415
2010-02-09,5.9015
2010-02-10,5.868
2010-02-11,6.0045
2010-02-12,5.983
2010-02-16,5.8765
2010-02-17,5.8155
2010-02-18,5.904
2010-02-19,5.876
2010-02-22,5.9005
2010-02-23,5.862
2010-02-24,5.986
2010-02-25,5.91
2010-02-26,5.92
2010-03-01,6.227
2010-03-02,6.2765
2010-03-03,6.2945
2010-03-04,6.4265
2010-03-05,6.4455
2010-03-08,6.5055
2010-03-09,6.441
2010-03-10,6.5255
2010-03-11,6.679
2010-03-12,6.591
2010-03-15,6.5565
2010-03-16,6.5895
2010-03-17,6.567
2010-03-18,6.638
2010-03-19,6.5175
2010-03-22,6.5235
2010-03-23,6.463
2010-03-24,6.402
2010-03-25,6.7365
2010-03-26,6.753
2010-03-29,6.756
2010-03-30,6.829
2010-03-31,6.7885
2010-04-01,6.5905
2010-04-05,6.5745
2010-04-06,6.778
2010-04-07,6.7435
2010-04-08,7.048
2010-04-09,7.003
2010-04-12,7.06
2010-04-13,7.008
2010-04-14,7.214
2010-04-15,7.291
2010-04-16,7.1085
2010-04-19,7.1215
2010-04-20,7.21
2010-04-21,7.3215
2010-04-22,7.5045
2010-04-23,7.1815
2010-04-26,7.3555
2010-04-27,7.101
2010-04-28,6.9675
2010-04-29,7.0865
2010-04-30,6.855
2010-05-03,6.8745
2010-05-04,6.4915
2010-05-05,6.5465
2010-05-06,6.4355
2010-05-07,6.249
2010-05-10,6.5645
2010-05-11,6.523
2010-05-12,6.6935
2010-05-13,6.5735
2010-05-14,6.4265
2010-05-17,6.4455
2010-05-18,6.314
2010-05-19,6.2295
2010-05-20,5.9855
2010-05-21,6.136
2010-05-24,6.106
2010-05-25,6.243
2010-05-26,6.1605
2010-05-27,6.335
2010-05-28,6.273
2010-06-01,6.162
2010-06-02,6.3155
2010-06-03,6.438
2010-06-04,6.1385
2010-06-07,6.1005
2010-06-08,5.9415
2010-06-09,5.8955
2010-06-10,6.1605
2010-06-11,6.1515
2010-06-14,6.1915
2010-06-15,6.342
2010-06-16,6.345
2010-06-17,6.2945
2010-06-18,6.2915
2010-06-21,6.1275
2010-06-22,6.1155
2010-06-23,6.0725
2010-06-24,5.9165
2010-06-25,6.05
2010-06-28,5.89
2010-06-29,5.4305
2010-06-30,5.463
2010-07-01,5.548
2010-07-02,5.457
2010-07-06,5.503
2010-07-07,5.6715
2010-07-08,5.811
2010-07-09,5.863
2010-07-12,5.9755
2010-07-13,6.1825
2010-07-14,6.165
2010-07-15,6.103
2010-07-16,5.9245
2010-07-19,5.997
2010-07-20,6.005
2010-07-21,5.8715
2010-07-22,6.0035
2010-07-23,5.9435
2010-07-26,5.92
2010-07-27,5.8565
2010-07-28,5.8565
2010-07-29,5.843
2010-07-30,5.8945
2010-08-02,6.0035
2010-08-03,6.121
2010-08-04,6.379
2010-08-05,6.3915
2010-08-06,6.416
2010-08-09,6.4415
2010-08-10,6.5
2010-08-11,6.2945
2010-08-12,6.328
2010-08-13,6.2345
2010-08-16,6.3035
2010-08-17,6.443
2010-08-18,6.4825
2010-08-19,6.3785
2010-08-20,6.388
2010-08-23,6.33
2010-08-24,6.2265
2010-08-25,6.3425
2010-08-26,6.243
2010-08-27,6.332
2010-08-30,6.1895
2010-08-31,6.2415
2010-09-01,6.6245
2010-09-02,6.7605
2010-09-03,6.9395
2010-09-07,6.861
2010-09-08,6.957
2010-09-09,7.019
2010-09-10,7.122
2010-09-13,7.2535
2010-09-14,7.2875
2010-09-15,7.2725
2010-09-16,7.4065
2010-09-17,7.416
2010-09-20,7.565
2010-09-21,7.5365
2010-09-22,7.5915
2010-09-23,7.6425
2010-09-24,8.0365
2010-09-27,7.9685
2010-09-28,7.985
2010-09-29,7.9495
2010-09-30,7.853
2010-10-01,7.6855
2010-10-04,7.7695
2010-10-05,8.0435
2010-10-06,7.77
2010-10-07,7.8135
2010-10-08,7.7775
2010-10-11,7.6515
2010-10-12,7.824
2010-10-13,7.7585
2010-10-14,7.7765
2010-10-15,8.232
2010-10-18,8.178
2010-10-19,7.9335
2010-10-20,7.9335
2010-10-21,8.2485
2010-10-22,8.4565
2010-10-25,8.45
2010-10-26,8.4975
2010-10-27,8.3755
2010-10-28,8.342
2010-10-29,8.2615
2010-11-01,8.129
2010-11-02,8.2305
2010-11-03,8.4235
2010-11-04,8.4465
2010-11-05,8.5385
2010-11-08,8.5995
2010-11-09,8.5135
2010-11-10,8.6665
2010-11-11,8.5185
2010-11-12,8.284
2010-11-15,7.945
2010-11-16,7.889
2010-11-17,7.9175
2010-11-18,8.2085
2010-11-19,8.241
2010-11-22,8.5195
2010-11-23,8.41
2010-11-24,8.8625
2010-11-26,8.86
2010-11-29,8.9745
2010-11-30,8.77
2010-12-01,8.8275
2010-12-02,8.8265
2010-12-03,8.784
2010-12-06,8.9025
2010-12-07,8.8385
2010-12-08,8.8145
2010-12-09,8.7425
2010-12-10,8.781
2010-12-13,8.7125
2010-12-14,8.697
2010-12-15,8.7785
2010-12-16,8.902
2010-12-17,8.879
2010-12-20,9.1645
2010-12-21,9.2375
2010-12-22,9.238
2010-12-23,9.1295
2010-12-27,9.107
2010-12-28,9.0545
2010-12-29,9.1685
2010-12-30,9.1375
2010-12-31,9.0
2011-01-03,9.211
2011-01-04,9.2505
2011-01-05,9.371
2011-01-06,9.293
2011-01-07,9.2745
2011-01-10,9.234
2011-01-11,9.217
2011-01-12,9.204
2011-01-13,9.2765
2011-01-14,9.4375
2011-01-18,9.5625
2011-01-19,9.3435
2011-01-20,9.098
2011-01-21,8.871
2011-01-24,8.8425
2011-01-25,8.835
2011-01-26,8.7695
2011-01-27,9.2225
2011-01-28,8.557
2011-01-31,8.482
2011-02-01,8.6055
2011-02-02,8.6765
2011-02-03,8.6855
2011-02-04,8.7965
2011-02-07,8.8215
2011-02-08,9.153
2011-02-09,9.265
2011-02-10,9.3105
2011-02-11,9.4625
2011-02-14,9.521
2011-02-15,9.4515
2011-02-16,9.331
2011-02-17,9.388
2011-02-18,9.325
2011-02-22,9.021
